weekday,date,price_usd
Mo,19-07-10,0.08
Tu,20-07-10,0.07
We,21-07-10,0.08
Th,22-07-10,0.05
Fr,23-07-10,0.06
Mo,26-07-10,0.06
Tu,27-07-10,0.06
We,28-07-10,0.06
Th,29-07-10,0.07
Fr,30-07-10,0.06
Mo,02-08-10,0.06
Tu,03-08-10,0.06
We,04-08-10,0.06
Th,05-08-10,0.06
Fr,06-08-10,0.06
Mo,09-08-10,0.07
Tu,10-08-10,0.07
We,11-08-10,0.07
Th,12-08-10,0.07
Fr,13-08-10,0.06
Mo,16-08-10,0.07
Tu,17-08-10,0.07
We,18-08-10,0.07
Th,19-08-10,0.07
Fr,20-08-10,0.07
Mo,23-08-10,0.06
Tu,24-08-10,0.07
We,25-08-10,0.06
Th,26-08-10,0.06
Fr,27-08-10,0.07
Mo,30-08-10,0.06
Tu,31-08-10,0.06
We,01-09-10,0.06
Th,02-09-10,0.06
Fr,03-09-10,0.06
Mo,06-09-10,0.06
Tu,07-09-10,0.06
We,08-09-10,0.06
Th,09-09-10,0.06
Fr,10-09-10,0.06
Mo,13-09-10,0.06
Tu,14-09-10,0.06
We,15-09-10,0.06
Th,16-09-10,0.06
Fr,17-09-10,0.06
Mo,20-09-10,0.06
Tu,21-09-10,0.06
We,22-09-10,0.06
Th,23-09-10,0.06
Fr,24-09-10,0.06
Mo,27-09-10,0.06
Tu,28-09-10,0.06
We,29-09-10,0.06
Th,30-09-10,0.06
Fr,01-10-10,0.06
Mo,04-10-10,0.06
Tu,05-10-10,0.06
We,06-10-10,0.06
Th,07-10-10,0.07
Fr,08-10-10,0.09
Mo,11-10-10,0.1
Tu,12-10-10,0.09
We,13-10-10,0.11
Th,14-10-10,0.1
Fr,15-10-10,0.11
Mo,18-10-10,0.1
Tu,19-10-10,0.1
We,20-10-10,0.1
Th,21-10-10,0.11
Fr,22-10-10,0.1
Mo,25-10-10,0.13
Tu,26-10-10,0.15
We,27-10-10,0.19
Th,28-10-10,0.17
Fr,29-10-10,0.19
Mo,01-11-10,0.2
Tu,02-11-10,0.19
We,03-11-10,0.19
Th,04-11-10,0.23
Fr,05-11-10,0.26
Mo,08-11-10,0.24
Tu,09-11-10,0.21
We,10-11-10,0.24
Th,11-11-10,0.22
Fr,12-11-10,0.27
Mo,15-11-10,0.27
Tu,16-11-10,0.22
We,17-11-10,0.23
Th,18-11-10,0.27
Fr,19-11-10,0.28
Mo,22-11-10,0.29
Tu,23-11-10,0.28
We,24-11-10,0.28
Th,25-11-10,0.28
Fr,26-11-10,0.28
Mo,29-11-10,0.23
Tu,30-11-10,0.21
We,01-12-10,0.23
Th,02-12-10,0.26
Fr,03-12-10,0.25
Mo,06-12-10,0.2
Tu,07-12-10,0.23
We,08-12-10,0.24
Th,09-12-10,0.2
Fr,10-12-10,0.2
Mo,13-12-10,0.23
Tu,14-12-10,0.25
We,15-12-10,0.24
Th,16-12-10,0.25
Fr,17-12-10,0.24
Mo,20-12-10,0.27
Tu,21-12-10,0.24
We,22-12-10,0.25
Th,23-12-10,0.25
Fr,24-12-10,0.25
Mo,27-12-10,0.27
Tu,28-12-10,0.28
We,29-12-10,0.3
Th,30-12-10,0.3
Fr,31-12-10,0.3
Mo,03-01-11,0.3
Tu,04-01-11,0.3
We,05-01-11,0.3
Th,06-01-11,0.3
Fr,07-01-11,0.32
Mo,10-01-11,0.33
Tu,11-01-11,0.33
We,12-01-11,0.32
Th,13-01-11,0.32
Fr,14-01-11,0.4
Mo,17-01-11,0.35
Tu,18-01-11,0.31
We,19-01-11,0.31
Th,20-01-11,0.39
Fr,21-01-11,0.42
Mo,24-01-11,0.42
Tu,25-01-11,0.41
We,26-01-11,0.42
Th,27-01-11,0.42
Fr,28-01-11,0.45
Mo,31-01-11,0.52
