Date,New Topics,New Posts,New Members
09.12.17,1541,49869,5263
08.12.17,1869,57886,5994
07.12.17,1905,59639,5238
06.12.17,1878,65556,4400
05.12.17,1673,65052,5195
04.12.17,1588,57891,4042
03.12.17,1430,59057,3551
02.12.17,1244,53577,3231
01.12.17,1565,61800,3542
30.11.17,1659,60162,3875
29.11.17,1656,57279,3301
28.11.17,1553,59144,3644
27.11.17,1454,63672,3686
26.11.17,1223,58202,2899
25.11.17,1161,53132,2712
24.11.17,1342,60146,2916
23.11.17,1652,60202,3228
22.11.17,1637,60377,3254
21.11.17,1534,60566,3770
20.11.17,1464,57906,3992
19.11.17,1150,54551,3017
18.11.17,1148,48561,2941
17.11.17,1433,56677,3173
16.11.17,1449,57236,3040
15.11.17,1447,54795,3104
14.11.17,1475,59963,4345
13.11.17,1424,56876,3257
12.11.17,1346,53715,2539
11.11.17,1401,50857,2309
10.11.17,1338,56111,2635
09.11.17,1397,58086,3141
08.11.17,1373,57036,3389
07.11.17,1374,56039,3436
06.11.17,1262,52153,4015
05.11.17,1176,46282,2800
04.11.17,1068,45235,3115
03.11.17,1304,50859,3239
02.11.17,1393,54180,3076
01.11.17,1358,54145,3438
31.10.17,1379,54052,3209
30.10.17,1310,50515,3242
29.10.17,1068,46287,2738
28.10.17,1115,47526,2707
27.10.17,1247,51574,3325
26.10.17,1312,53584,3576
25.10.17,1334,54620,3606
24.10.17,1288,51295,3079
23.10.17,1325,49454,3579
22.10.17,1125,46584,3043
21.10.17,1033,43827,3455
20.10.17,988,37566,2251
19.10.17,1304,48201,2965
18.10.17,1255,49390,3083
17.10.17,1289,48928,3263
16.10.17,1273,48513,3093
15.10.17,1079,42067,2370
14.10.17,1007,41686,2529
13.10.17,1210,47347,2984
12.10.17,1165,50922,2886
11.10.17,1190,49816,2865
10.10.17,1147,46736,3213
09.10.17,1177,47020,2960
08.10.17,915,40211,2838
07.10.17,873,39258,3228
06.10.17,983,41765,3014
05.10.17,972,42753,2137
04.10.17,997,42362,2007
03.10.17,1055,41843,2352
02.10.17,1195,40044,2184
01.10.17,962,36045,1662
30.09.17,843,35540,1623
29.09.17,980,38920,1661
28.09.17,1017,40432,2609
27.09.17,994,39135,2095
26.09.17,919,37610,1701
25.09.17,957,35283,1621
24.09.17,817,31606,1260
23.09.17,734,30820,1162
22.09.17,807,34894,1418
21.09.17,882,37747,1443
20.09.17,959,35489,1656
19.09.17,946,36993,1564
18.09.17,897,34946,1369
17.09.17,853,31787,1215
16.09.17,830,31916,1226
15.09.17,1071,33826,1754
14.09.17,1053,37290,1550
13.09.17,1004,34672,1770
12.09.17,991,34613,1584
11.09.17,898,31156,1435
10.09.17,808,27766,1390
09.09.17,795,27497,1224
08.09.17,919,30918,1488
07.09.17,1002,32778,1560
06.09.17,944,33137,1670
05.09.17,917,32020,1431
04.09.17,1024,32861,1565
03.09.17,810,29620,1380
02.09.17,805,28476,1332
01.09.17,994,30260,1430
31.08.17,1006,32886,1741
30.08.17,882,33827,1684
29.08.17,926,33144,1562
28.08.17,786,30413,1658
27.08.17,756,29010,1468
26.08.17,819,28291,1381
25.08.17,980,30525,1385
24.08.17,956,30588,1506
23.08.17,934,29788,1568
22.08.17,1007,33798,1480
21.08.17,901,28794,1355
20.08.17,752,27869,1317
19.08.17,779,27282,1280
18.08.17,818,27127,1286
17.08.17,834,30055,1349
16.08.17,874,32929,1507
15.08.17,766,27593,1371
14.08.17,888,28621,1633
13.08.17,786,23876,1131
12.08.17,688,23489,1175
11.08.17,767,24992,1178
10.08.17,804,27214,1294
09.08.17,814,25949,1312
08.08.17,809,25878,1369
07.08.17,722,26597,1335
06.08.17,731,24158,1048
05.08.17,702,23705,1006
04.08.17,756,24614,1230
03.08.17,847,25872,1213
02.08.17,1060,26763,1188
01.08.17,848,24252,1243
31.07.17,732,24275,3385
30.07.17,614,21747,1122
29.07.17,626,21399,1325
28.07.17,880,23233,1780
27.07.17,757,23891,1488
26.07.17,809,24760,1244
25.07.17,694,25063,1243
24.07.17,665,23813,1279
23.07.17,832,22635,1039
22.07.17,632,20917,1005
21.07.17,699,22082,1092
20.07.17,683,24415,1168
19.07.17,766,23169,1243
18.07.17,1167,22826,1308
17.07.17,791,21721,1348
16.07.17,679,18664,1046
15.07.17,778,18336,1236
14.07.17,666,20001,1412
13.07.17,778,21549,1471
12.07.17,736,21324,1230
11.07.17,752,20239,1379
10.07.17,706,20018,1401
09.07.17,629,17683,1305
08.07.17,722,18092,1227
07.07.17,737,19126,1323
06.07.17,865,20336,1378
05.07.17,1508,19859,1205
04.07.17,1740,20663,1239
03.07.17,617,18395,1107
02.07.17,976,16529,1007
01.07.17,777,17316,976
30.06.17,1088,18684,1099
29.06.17,891,19680,1083
28.06.17,865,19613,1166
27.06.17,1183,19159,1129
26.06.17,781,18990,1350
25.06.17,574,16913,1015
24.06.17,749,16558,862
23.06.17,667,18526,1056
22.06.17,687,20027,1190
21.06.17,641,20937,1105
20.06.17,659,19727,1167
19.06.17,657,19101,1173
18.06.17,604,17724,979
17.06.17,601,17385,1109
16.06.17,619,18876,1103
15.06.17,728,20634,1394
14.06.17,745,20984,1169
13.06.17,704,20774,1170
12.06.17,648,21373,1133
11.06.17,627,18272,1011
10.06.17,614,17728,928
09.06.17,596,19088,1125
08.06.17,700,19582,1115
07.06.17,657,20108,1153
06.06.17,1530,20784,1234
05.06.17,1296,19116,1019
04.06.17,962,16496,922
03.06.17,709,16087,916
02.06.17,735,17641,925
01.06.17,662,16869,933
31.05.17,849,18164,1013
30.05.17,662,17370,913
29.05.17,810,17174,852
28.05.17,544,15276,824
27.05.17,627,14501,812
26.05.17,719,16377,919
25.05.17,700,17821,1082
24.05.17,795,17996,993
23.05.17,648,16824,1021
22.05.17,689,16471,946
21.05.17,565,14843,758
20.05.17,854,14681,689
19.05.17,562,15018,738
18.05.17,849,15641,746
17.05.17,866,16198,812
16.05.17,770,15861,737
15.05.17,769,15725,766
14.05.17,593,13972,703
13.05.17,892,14406,740
12.05.17,848,15566,792
11.05.17,636,15375,792
10.05.17,963,16689,745
09.05.17,799,15983,686
08.05.17,629,15388,671
07.05.17,724,13839,583
06.05.17,584,13250,599
05.05.17,537,14409,632
04.05.17,898,15476,659
03.05.17,920,15215,651
02.05.17,952,13906,580
01.05.17,506,14439,524
30.04.17,460,12139,471
29.04.17,483,11967,566
28.04.17,472,14276,558
27.04.17,701,15396,600
26.04.17,612,16532,574
25.04.17,911,15683,617
24.04.17,632,15733,629
23.04.17,820,14190,502
22.04.17,589,11456,310
21.04.17,634,11200,338
20.04.17,796,15215,576
19.04.17,677,15624,556
18.04.17,617,14880,634
17.04.17,636,14323,605
16.04.17,542,12236,472
15.04.17,570,12562,486
14.04.17,571,13394,485
13.04.17,599,13204,529
12.04.17,622,14038,560
11.04.17,599,13635,537
10.04.17,560,13751,557
09.04.17,555,11905,504
08.04.17,581,12129,499
