weekday,date,price_usd
We,26-07-17,2432.9951
Tu,25-07-17,2468.53
Mo,24-07-17,2760.0049
Fr,21-07-17,2640.5005
Th,20-07-17,2729.3149
We,19-07-17,2254.9976
Tu,18-07-17,2348.4785
Mo,17-07-17,2174.02
Fr,14-07-17,2159.0449
Th,13-07-17,2337.6851
We,12-07-17,2382.0176
Tu,11-07-17,2328.9399
Mo,10-07-17,2384.5415
Fr,07-07-17,2514.8652
Th,06-07-17,2597.675
We,05-07-17,2611.0859
Tu,04-07-17,2575.5249
Mo,03-07-17,2557.7451
Fr,30-06-17,2502.5029
Th,29-06-17,2558.2749
We,28-06-17,2593.5801
Tu,27-06-17,2457.4551
Mo,26-06-17,2347.3149
Fr,23-06-17,2707.6389
Th,22-06-17,2671.6699
We,21-06-17,2659.2744
Tu,20-06-17,2749.626
Mo,19-06-17,2573.1719
Fr,16-06-17,2484.6489
Th,15-06-17,2361.335
We,14-06-17,2552.4751
Tu,13-06-17,2701.5449
Mo,12-06-17,2599.1621
Fr,09-06-17,2834.4829
Th,08-06-17,2749.46
We,07-06-17,2738.875
Tu,06-06-17,2871.125
Mo,05-06-17,2663.4966
Fr,02-06-17,2430.8311
Th,01-06-17,2410.55
We,31-05-17,2286.095
Tu,30-05-17,2249.9414
Mo,29-05-17,2306.6099
Fr,26-05-17,2268.6978
Th,25-05-17,2465.543
We,24-05-17,2435.884
Tu,23-05-17,2216.1794
Mo,22-05-17,2149.6299
Fr,19-05-17,1938.0422
Th,18-05-17,1883.0444
We,17-05-17,1816.7317
Tu,16-05-17,1769.4133
Mo,15-05-17,1719.6267
Fr,12-05-17,1691.8046
Th,11-05-17,1820.8408
We,10-05-17,1776.344
Tu,09-05-17,1712.1641
Mo,08-05-17,1657.5535
Fr,05-05-17,1529.4121
Th,04-05-17,1502.2865
We,03-05-17,1516.6914
Tu,02-05-17,1439.4485
Mo,01-05-17,1435.8943
Fr,28-04-17,1304.911
Th,27-04-17,1347.905
We,26-04-17,1294.3015
Tu,25-04-17,1281.4712
Mo,24-04-17,1255.9125
Fr,21-04-17,1242.7295
Th,20-04-17,1240.022
We,19-04-17,1206.4497
Tu,18-04-17,1204.6675
Mo,17-04-17,1193.9377
Fr,14-04-17,1183.5885
Th,13-04-17,1170.0146
We,12-04-17,1216.0701
Tu,11-04-17,1226.6951
Mo,10-04-17,1203.0994
Fr,07-04-17,1199.2368
Th,06-04-17,1199.1685
We,05-04-17,1128.1299
Tu,04-04-17,1138.8572
Mo,03-04-17,1153.8298
Fr,31-03-17,1074.6862
Th,30-03-17,1035.442
We,29-03-17,1039.3177
Tu,28-03-17,1030.1655
Mo,27-03-17,1023.7273
Fr,24-03-17,960.7375
Th,23-03-17,1038.9038
We,22-03-17,1009.3051
Tu,21-03-17,1092.5565
Mo,20-03-17,1023.7982
Fr,17-03-17,1096.9136
Th,16-03-17,1148.4961
