Date,DXY Curncy,EURUSD Curncy,XAU Curncy,SPA Index,MXWO Index,USGG10YR Index,USDCNH Curncy,INTC US Equity,AMD US Equity,NVDA US Equity,QCOM US Equity,TSM US Equity,XBTUSD Curncy,SPX Index,LG30TRUU Index,LGTRTRUU Index,LUATTRUU Index
01.07.2010,84.716,1.2527,1198.69,NA,1036.08,2.947,NA,19.25,7.39,10.38,31.96,9.79,NA,1027.37,723.86,191.44,1844.68
02.07.2010,84.427,1.2566,1211.65,NA,1036.62,2.977,NA,19.2,7.17,10.25,32.37,9.89,NA,1022.58,725.26,191.66,1840.52
03.07.2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04.07.2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05.07.2010,84.608,1.2538,1208.93,NA,1033.74,2.9733,NA,NA,NA,NA,NA,NA,NA,NA,724.79,191.4,NA
06.07.2010,84.083,1.2626,1192.6,NA,1051.6,2.9302,NA,19.481,7.04,10.14,32.65,9.84,NA,1028.06,727.8,192.29,1845.68
07.07.2010,83.822,1.2638,1202.78,NA,1071.75,2.9803,NA,20.1425,7.39,10.63,33.38,10,NA,1060.27,728.35,192.09,1842.2
08.07.2010,83.824,1.2698,1198.25,NA,1084.87,3.0306,NA,20.1,7.37,10.31,33.93,10.09,NA,1070.25,731.37,191.43,1839.31
09.07.2010,83.947,1.2641,1211.71,NA,1091.53,3.052,NA,20.24,7.34,10.35,33.91,10.15,NA,1077.96,733.22,191.21,1836.17
10.07.2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.07.2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12.07.2010,84.203,1.2596,1196.85,NA,1091.47,3.0628,NA,20.57,7.36,10.54,35.1,10.07,NA,1078.75,734.62,191.16,1837.23
13.07.2010,83.643,1.2724,1212.3,NA,1109.01,3.1208,NA,21.01,7.52,10.92,35.95,10.14,NA,1095.34,737.73,191.68,1831.92
14.07.2010,83.426,1.2743,1208.47,NA,1113.08,3.0426,NA,21.36,7.44,11.03,36.9,10.15,NA,1095.17,740.37,191.75,1838.65
15.07.2010,82.558,1.295,1208.3,NA,1113.12,2.9937,NA,21.51,7.41,10.72,36.88,10.15,NA,1096.48,742.48,193.65,1844.95
16.07.2010,82.486,1.293,1193,NA,1089.89,2.9215,NA,21.02,7.37,10.05,35.96,9.92,NA,1064.88,743.69,194.8,1848.26
17.07.2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18.07.2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
