time,block,supply,fees,new_supply,new_fees,no_users,no_miners,no_transactions,no_auto_transactions,curr_transacted,curr_auto_transacted,new_users,new_miners,new_transactions,new_auto_transactions,new_curr_transacted,new_curr_auto_transacted,no_users_sunk,no_miners_sunk,curr_sunk,new_users_sunk,new_miners_sunk,new_curr_sunk,miner_wealth,user_wealth,ns_alltime_user_wealth,ns_alltime_miner_wealth,alltime_miner_wealth,alltime_user_wealth,ns_miner_wealth,ns_user_wealth,ns_pureuser_wealth,pureuser_wealth,transformed_user_to_miner,lost_track
2009-01-09,15,750.0,0.0,750.0,0.0,15,15,0,0,0.0,0.0,15,15,0,0,0.0,0.0,5,5,250.0,5,5,250.0,750.0,0.0,0.0,500.0,750.0,0.0,500.0,0.0,0.0,0.0,0,0.0
2009-01-10,76,3800.0,0.0,3050.0,0.0,76,76,0,0,0.0,0.0,61,61,0.0,0.0,0.0,0.0,59,59,2950.0,54,54,2700.0,3800.0,0.0,0.0,850.0,3800.0,0.0,850.0,0.0,0.0,0.0,0,0.0
2009-01-11,169,8450.0,0.0,4650.0,0.0,169,169,0.0,0.0,0.0,0.0,93,93,0.0,0.0,0.0,0.0,149,149,7450.0,90,90,4500.0,8450.0,0.0,0.0,1000.0,8450.0,0.0,1000.0,0.0,0.0,0.0,0,0.0
2009-01-12,263,13150.0,0.0,4700.0,0.0,267,263,0.0,0.0,0.0,0.0,98,94,7.0,0.0,34.0,0.0,242,240,12011.0,93,91,4561.0,13118.0,32.0,10.0,1129.0,13129.0,21.0,1118.0,21.0,21.0,32.0,0,0.0
2009-01-13,386,19300.0,0.0,6150.0,0.0,388,385,7.0,0.0,34.0,0.0,121,122,0.0,0.0,0.0,0.0,354,352,17611.0,112,112,5600.0,19279.0,21.0,10.0,1679.0,19279.0,21.0,1679.0,10.0,10.0,21.0,1,0.0
2009-01-14,515,25750.0,0.0,6450.0,0.0,503,499,7.0,0.0,34.0,0.0,115,114,1.0,0.0,61.0,0.0,462,459,23022.0,108,107,5411.0,25668.0,82.0,10.0,2718.0,25668.0,82.0,2718.0,10.0,10.0,82.0,15,0.0
2009-01-15,641,32050.0,0.0,6300.0,0.0,621,613,8.0,0.0,95.0,0.0,118,114,4.0,4.0,350.0,0.0,576,572,28722.0,114,113,5700.0,31618.0,432.0,310.0,3018.0,31618.0,432.0,3018.0,310.0,310.0,432.0,25,0.0
2009-01-16,749,37450.0,0.0,5400.0,0.0,715,706,12.0,4.0,445.0,0.0,94,93,2.0,0.0,200.0,0.0,669,664,33422.0,93,92,4700.0,36918.0,532.0,310.0,3718.0,36918.0,532.0,3718.0,310.0,310.0,532.0,38,0.0
2009-01-17,858,42900.0,0.0,5450.0,0.0,808,799,14.0,4.0,645.0,0.0,93,93,0.0,0.0,0.0,0.0,760,755,37972.0,91,91,4550.0,42368.0,532.0,310.0,4618.0,42368.0,532.0,4618.0,310.0,310.0,532.0,54,0.0
2009-01-18,965,48250.0,0.0,5350.0,0.0,903,893,14.0,4.0,645.0,0.0,95,94,1.0,0.0,150.0,0.0,852,846,42672.0,92,91,4700.0,47568.0,682.0,310.0,5268.0,47568.0,682.0,5268.0,310.0,310.0,682.0,66,0.0
2009-01-19,1080,54000.0,0.0,5750.0,0.0,1004,994,15.0,4.0,795.0,0.0,101,101,2.0,0.0,775.0,0.0,946,940,47372.0,94,94,4700.0,53318.0,682.0,310.0,6318.0,53318.0,682.0,6318.0,310.0,310.0,682.0,78,0.0
2009-01-20,1194,59700.0,0.0,5700.0,0.0,1101,1091,17.0,4.0,1570.0,0.0,97,97,1.0,0.0,400.0,0.0,1038,1032,51972.0,92,92,4600.0,59018.0,682.0,310.0,7418.0,59018.0,682.0,7418.0,310.0,310.0,682.0,94,0.0
2009-01-21,1296,64800.0,0.0,5100.0,0.0,1186,1175,18.0,4.0,1970.0,0.0,85,84,2.0,0.0,600.0,0.0,1118,1111,56022.0,80,79,4050.0,64018.0,782.0,310.0,8468.0,64018.0,782.0,8468.0,310.0,310.0,782.0,110,0.0
2009-01-22,1387,69350.0,0.0,4550.0,0.0,1269,1258,20.0,4.0,2570.0,0.0,83,83,0.0,0.0,0.0,0.0,1199,1192,60072.0,81,81,4050.0,68568.0,782.0,310.0,8968.0,68568.0,782.0,8968.0,310.0,310.0,782.0,118,0.0
2009-01-23,1471,73550.0,0.0,4200.0,0.0,1340,1328,20.0,4.0,2570.0,0.0,71,70,2.0,0.0,450.0,0.0,1236,1228,62022.0,37,36,1950.0,72618.0,932.0,310.0,11218.0,72618.0,932.0,11218.0,310.0,310.0,932.0,130,0.0
2009-01-24,1672,83600.0,0.0,10050.0,0.0,1524,1511,22.0,4.0,3020.0,0.0,184,183,1.0,0.0,500.0,0.0,1288,1280,64622.0,52,52,2600.0,82168.0,1432.0,810.0,18168.0,82168.0,1432.0,18168.0,810.0,810.0,1432.0,147,0.0
2009-01-25,1863,93150.0,0.0,9550.0,0.0,1705,1692,23.0,4.0,3520.0,0.0,181,181,1.0,0.0,50.0,0.0,1333,1325,66872.0,45,45,2250.0,91718.0,1432.0,810.0,25468.0,91718.0,1432.0,25468.0,810.0,810.0,1432.0,156,0.0
2009-01-26,1959,97950.0,0.0,4800.0,0.0,1787,1774,24.0,4.0,3570.0,0.0,82,82,1.0,0.0,1000.0,0.0,1404,1396,70422.0,71,71,3550.0,96518.0,1432.0,810.0,26718.0,96518.0,1432.0,26718.0,810.0,810.0,1432.0,169,0.0
2009-01-27,2056,102800.0,0.0,4850.0,0.0,1878,1864,25.0,4.0,4570.0,0.0,91,90,1.0,0.0,150.0,0.0,1490,1481,74822.0,86,85,4400.0,101218.0,1582.0,810.0,27168.0,101218.0,1582.0,27168.0,810.0,810.0,1582.0,175,0.0
2009-01-28,2168,108400.0,0.0,5600.0,0.0,1975,1961,26.0,4.0,4720.0,0.0,97,97,0.0,0.0,0.0,0.0,1576,1567,79122.0,86,86,4300.0,106818.0,1582.0,810.0,28468.0,106818.0,1582.0,28468.0,810.0,810.0,1582.0,190,0.0
2009-01-29,2289,114450.0,0.0,6050.0,0.0,2077,2063,26.0,4.0,4720.0,0.0,102,102,1.0,0.0,600.0,0.0,1662,1653,83422.0,86,86,4300.0,112868.0,1582.0,810.0,30218.0,112868.0,1582.0,30218.0,810.0,810.0,1582.0,208,0.0
2009-01-30,2406,120300.0,0.0,5850.0,0.0,2171,2157,27.0,4.0,5320.0,0.0,94,94,0.0,0.0,0.0,0.0,1751,1742,87872.0,89,89,4450.0,118718.0,1582.0,810.0,31618.0,118718.0,1582.0,31618.0,810.0,810.0,1582.0,231,0.0
2009-01-31,2544,127200.0,0.0,6900.0,0.0,2277,2262,27.0,4.0,5320.0,0.0,106,105,1.0,0.0,1000.0,0.0,1846,1837,92622.0,95,95,4750.0,124618.0,2582.0,1810.0,32768.0,124618.0,2582.0,32768.0,1810.0,1810.0,2582.0,263,0.0
2009-02-01,2657,132850.0,0.0,5650.0,0.0,2367,2351,28.0,4.0,6320.0,0.0,90,89,1.0,0.0,100.0,0.0,1924,1915,96522.0,78,78,3900.0,130168.0,2682.0,1810.0,34518.0,130268.0,2582.0,34418.0,1910.0,1910.0,2682.0,286,0.0
2009-02-02,2785,139250.0,0.0,6400.0,0.0,2461,2444,29.0,4.0,6420.0,0.0,94,93,1.0,0.0,50.0,0.0,2008,1999,100722.0,84,84,4200.0,136518.0,2732.0,1860.0,36668.0,136618.0,2632.0,36568.0,1960.0,1960.0,2732.0,320,0.0
2009-02-03,2924,146200.0,2.01,6950.0,2.01,2561,2541,30.0,4.0,6470.0,0.0,100,97,12.0,4.0,103.1,5.115699530655604e-15,2098,2087,105143.02,90,88,4421.0200000000041,143448.95000000001,2751.0499999999884,1840.989999999998,39215.989999999998,143568.0,2632.0,39096.940000000002,1960.0399999999936,1960.04,2751.0500000000002,361,8.52443116095003e-15
