date	nTweets	googleSearch	wikiViews	totalTweets	nUsersFiltered	nUsersFilteredNet	nDownloads	nFBShares
2009-01-09	3	0	0	1479198	6	6	0	0
2009-01-10	1	0	1	1427658	9	9	0	0
2009-01-11	3	0	0	1865748	11	11	0	0
2009-01-12	4	0	0	2180142	17	12	0	0
2009-01-13	4	0	0	1979136	27	20	0	0
2009-01-14	1	0	0	2051292	49	31	0	0
2009-01-15	2	0	0	2020368	66	36	0	0
2009-01-16	5	0	0	1510122	83	39	0	0
2009-01-17	1	0	0	1489506	101	41	0	0
2009-01-18	0	0	0	2015214	117	47	0	0
2009-01-19	2	0	0	2231682	139	57	0	0
2009-01-20	2	0	0	2334762	161	63	0	0
2009-01-21	2	0	0	2308992	184	71	0	0
2009-01-22	7	0	0	2190450	194	73	0	0
2009-01-23	3	0	0	1654434	212	79	0	0
2009-01-24	1	0	0	1736898	233	84	0	0
2009-01-25	3	0	0	2381148	247	89	0	0
2009-01-26	2	0	0	2283222	263	93	0	0
2009-01-27	2	0	0	2432688	271	95	0	0
2009-01-28	4	0	0	2473920	294	104	0	0
2009-01-29	4	0	4	2406918	317	109	0	0
2009-01-30	5	0	0	1845132	340	110	0	0
2009-01-31	0	0	0	1772976	376	118	0	0
2009-02-01	0	0	0	2515152	407	128	0	0
2009-02-02	6	0	0	2613078	444	135	0	0
2009-02-03	6	0	0	2473920	491	139	0	0
2009-02-04	3	0	0	2741928	517	142	0	0
2009-02-05	5	0	0	2664618	551	145	0	0
2009-02-06	5	0	0	1855440	570	146	0	0
2009-02-07	4	0	0	1798746	601	148	0	0
2009-02-08	3	0	0	2499690	647	154	0	0
2009-02-09	1	0	0	2695542	680	160	0	0
2009-02-10	7	0	0	2808930	698	165	0	0
2009-02-11	7	0	0	2700696	725	168	0	0
2009-02-12	8	0	0	2747082	747	169	0	0
2009-02-13	3	0	0	2123448	775	171	0	0
2009-02-14	0	0	0	2020368	804	175	0	0
2009-02-15	1	0	0	2984166	838	181	0	0
2009-02-16	5	0	0	3004782	863	186	0	0
2009-02-17	9	0	0	3143940	889	191	0	0
2009-02-18	7	0	0	3154248	912	191	0	0
2009-02-19	3	0	0	3102708	948	195	0	0
2009-02-20	7	0	0	2303838	977	196	0	0
2009-02-21	2	0	0	2288376	999	200	0	0
2009-02-22	1	0	0	3004782	1028	202	0	0
2009-02-23	5	0	0	3308868	1050	206	0	0
2009-02-24	3	0	0	3329484	1066	206	0	0
2009-02-25	5	0	0	3427410	1082	208	0	0
2009-02-26	4	0	0	3396486	1096	208	0	0
2009-02-27	5	0	0	2607924	1121	209	0	0
2009-02-28	4	0	0	2437842	1129	211	0	0
2009-03-01	2	0	0	3375870	1145	214	0	0
2009-03-02	6	0	0	3499566	1160	215	0	0
2009-03-03	7	0	0	3669648	1177	217	0	0
2009-03-04	4	0	0	3850038	1197	219	0	0
2009-03-05	2	0	0	3932502	1219	220	0	0
2009-03-06	5	0	0	3015090	1250	220	0	0
2009-03-07	7	0	0	2948088	1275	225	0	0
2009-03-08	3	0	16	3819114	1294	229	0	0
2009-03-09	5	0	8	4159278	1315	229	0	0
2009-03-10	12	0	9	4128354	1336	232	0	0
2009-03-11	11	0	11	4020120	1361	235	0	0
2009-03-12	3	0	6	4123200	1391	237	0	0
2009-03-13	4	0	20	3071784	1405	237	0	0
2009-03-14	3	0	8	3020244	1429	239	0	0
2009-03-15	3	0	14	3061476	1457	241	0	0
2009-03-16	3	0	14	3422256	1484	245	0	0
2009-03-17	17	0	9	3813960	1508	247	0	0
2009-03-18	15	0	7	3994350	1525	250	0	0
2009-03-19	7	0	23	4118046	1552	254	0	0
2009-03-20	8	0	13	3154248	1578	255	0	0
2009-03-21	6	0	9	3138786	1604	259	0	0
2009-03-22	2	0	14	3875808	1637	263	0	0
2009-03-23	6	0	18	4164432	1667	265	0	0
2009-03-24	9	0	15	4458210	1684	266	0	0
