Kategorie: Alle Kategorien

Tag,Bitcoin: (Weltweit)
2014-06-17,58
2014-06-18,58
2014-06-19,52
2014-06-20,50
2014-06-21,45
2014-06-22,45
2014-06-23,46
2014-06-24,43
2014-06-25,44
2014-06-26,42
2014-06-27,54
2014-06-28,45
2014-06-29,41
2014-06-30,52
2014-07-01,55
2014-07-02,55
2014-07-03,51
2014-07-04,47
2014-07-05,40
2014-07-06,49
2014-07-07,52
2014-07-08,47
2014-07-09,44
2014-07-10,49
2014-07-11,48
2014-07-12,43
2014-07-13,41
2014-07-14,43
2014-07-15,47
2014-07-16,55
2014-07-17,51
2014-07-18,51
2014-07-19,51
2014-07-20,45
2014-07-21,46
2014-07-22,49
2014-07-23,46
2014-07-24,48
2014-07-25,43
2014-07-26,42
2014-07-27,42
2014-07-28,47
2014-07-29,45
2014-07-30,50
2014-07-31,47
2014-08-01,44
2014-08-02,40
2014-08-03,41
2014-08-04,42
2014-08-05,48
2014-08-06,54
2014-08-07,52
2014-08-08,45
2014-08-09,43
2014-08-10,43
2014-08-11,47
2014-08-12,50
2014-08-13,69
2014-08-14,60
2014-08-15,60
2014-08-16,59
2014-08-17,50
2014-08-18,60
2014-08-19,55
2014-08-20,53
2014-08-21,50
2014-08-22,49
2014-08-23,45
2014-08-24,44
2014-08-25,42
2014-08-26,47
2014-08-27,41
2014-08-28,44
2014-08-29,44
2014-08-30,43
2014-08-31,48
2014-09-01,53
2014-09-02,51
2014-09-03,51
2014-09-04,50
2014-09-05,49
2014-09-06,44
2014-09-07,42
2014-09-08,47
2014-09-09,53
2014-09-10,63
2014-09-11,68
2014-09-12,54
2014-09-13,44
2014-09-14,46
2014-09-15,48
2014-09-16,47
2014-09-17,46
2014-09-18,49
2014-09-19,55
2014-09-20,45
2014-09-21,45
2014-09-22,47
2014-09-23,55
2014-09-24,58
2014-09-25,49
2014-09-26,47
2014-09-27,43
2014-09-28,45
2014-09-29,52
2014-09-30,50
2014-10-01,48
2014-10-02,46
2014-10-03,51
2014-10-04,51
2014-10-05,64
2014-10-06,66
2014-10-07,58
2014-10-08,56
2014-10-09,56
2014-10-10,51
2014-10-11,44
2014-10-12,44
2014-10-13,48
2014-10-14,54
2014-10-15,52
2014-10-16,49
2014-10-17,46
2014-10-18,44
2014-10-19,43
2014-10-20,44
2014-10-21,45
2014-10-22,42
2014-10-23,46
2014-10-24,43
2014-10-25,40
2014-10-26,39
2014-10-27,43
2014-10-28,44
2014-10-29,45
2014-10-30,43
2014-10-31,39
2014-11-01,39
2014-11-02,41
2014-11-03,43
2014-11-04,43
2014-11-05,43
2014-11-06,49
2014-11-07,50
2014-11-08,44
2014-11-09,46
2014-11-10,53
2014-11-11,48
2014-11-12,55
2014-11-13,59
2014-11-14,49
2014-11-15,46
2014-11-16,47
2014-11-17,48
2014-11-18,50
2014-11-19,45
2014-11-20,45
2014-11-21,44
2014-11-22,42
2014-11-23,40
2014-11-24,44
2014-11-25,44
2014-11-26,43
2014-11-27,41
2014-11-28,40
2014-11-29,38
2014-11-30,40
2014-12-01,43
2014-12-02,47
2014-12-03,47
2014-12-04,43
2014-12-05,42
2014-12-06,38
2014-12-07,45
2014-12-08,48
2014-12-09,44
2014-12-10,44
2014-12-11,62
2014-12-12,55
2014-12-13,48
2014-12-14,45
2014-12-15,45
2014-12-16,52
2014-12-17,52
2014-12-18,51
2014-12-19,47
2014-12-20,43
2014-12-21,45
2014-12-22,45
2014-12-23,45
2014-12-24,41
2014-12-25,44
2014-12-26,51
2014-12-27,100
2014-12-28,44
2014-12-29,43
2014-12-30,42
2014-12-31,43
2015-01-01,39
2015-01-02,46
2015-01-03,49
2015-01-04,59
2015-01-05,56
2015-01-06,61
2015-01-07,49
2015-01-08,46
2015-01-09,49
2015-01-10,47
2015-01-11,45
2015-01-12,45
2015-01-13,57
2015-01-14,83
2015-01-15,72
2015-01-16,58
2015-01-17,49
2015-01-18,48
2015-01-19,46
2015-01-20,47
2015-01-21,50
2015-01-22,49
2015-01-23,48
2015-01-24,46
2015-01-25,47
2015-01-26,64
2015-01-27,57
2015-01-28,51
2015-01-29,50
2015-01-30,46
2015-01-31,42
2015-02-01,42
2015-02-02,42
2015-02-03,45
2015-02-04,43
2015-02-05,48
2015-02-06,45
2015-02-07,50
2015-02-08,52
2015-02-09,52
2015-02-10,51
2015-02-11,48
2015-02-12,46
2015-02-13,45
2015-02-14,44
2015-02-15,46
2015-02-16,46
2015-02-17,44
2015-02-18,47
2015-02-19,51
2015-02-20,70
2015-02-21,48
2015-02-22,46
2015-02-23,44
2015-02-24,44
2015-02-25,42
2015-02-26,40
2015-02-27,41
2015-02-28,39
2015-03-01,40
2015-03-02,44
2015-03-03,47
2015-03-04,44
