Kategorie: Alle Kategorien

Monat,bitcoin: (Weltweit)
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,1
2011-03,1
2011-04,1
2011-05,4
2011-06,12
2011-07,5
2011-08,4
2011-09,3
2011-10,2
2011-11,2
2011-12,1
2012-01,2
2012-02,2
2012-03,2
2012-04,2
2012-05,2
2012-06,2
2012-07,2
2012-08,3
2012-09,3
2012-10,2
2012-11,2
2012-12,3
2013-01,3
2013-02,5
2013-03,12
2013-04,35
2013-05,14
2013-06,9
2013-07,9
2013-08,9
2013-09,7
2013-10,14
2013-11,48
2013-12,54
2014-01,35
2014-02,40
2014-03,30
2014-04,17
2014-05,14
2014-06,14
2014-07,13
2014-08,13
2014-09,14
2014-10,13
2014-11,12
2014-12,13
2015-01,14
2015-02,12
2015-03,12
2015-04,11
2015-05,10
2015-06,11
2015-07,12
2015-08,12
2015-09,11
2015-10,11
2015-11,16
2015-12,16
2016-01,14
2016-02,13
2016-03,13
2016-04,13
2016-05,16
2016-06,21
2016-07,16
2016-08,15
2016-09,14
2016-10,15
2016-11,18
2016-12,21
2017-01,29
2017-02,26
2017-03,32
2017-04,27
2017-05,67
2017-06,66
2017-07,58
2017-08,93
2017-09,95
2017-10,100
