Kategorie: Alle Kategorien

Monat,Bitcoin: (Weltweit)
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,2
2011-06,6
2011-07,3
2011-08,2
2011-09,2
2011-10,1
2011-11,1
2011-12,1
2012-01,1
2012-02,1
2012-03,1
2012-04,1
2012-05,1
2012-06,1
2012-07,1
2012-08,1
2012-09,1
2012-10,1
2012-11,1
2012-12,1
2013-01,2
2013-02,2
2013-03,6
2013-04,17
2013-05,7
2013-06,5
2013-07,4
2013-08,4
2013-09,4
2013-10,7
2013-11,24
2013-12,27
2014-01,18
2014-02,19
2014-03,14
2014-04,8
2014-05,7
2014-06,7
2014-07,6
2014-08,7
2014-09,7
2014-10,6
2014-11,6
2014-12,6
2015-01,7
2015-02,6
2015-03,6
2015-04,5
2015-05,5
2015-06,5
2015-07,6
2015-08,6
2015-09,5
2015-10,6
2015-11,8
2015-12,8
2016-01,7
2016-02,7
2016-03,6
2016-04,6
2016-05,8
2016-06,10
2016-07,8
2016-08,8
2016-09,7
2016-10,7
2016-11,9
2016-12,10
2017-01,14
2017-02,13
2017-03,16
2017-04,13
2017-05,33
2017-06,33
2017-07,28
2017-08,46
2017-09,47
2017-10,50
2017-11,100
