Date,"Bitcoin"
2015-07-01,7063
2015-07-02,5137
2015-07-03,4558
2015-07-04,4050
2015-07-05,4469
2015-07-06,6207
2015-07-07,7549
2015-07-08,7356
2015-07-09,6278
2015-07-10,5180
2015-07-11,3702
2015-07-12,3816
2015-07-13,5824
2015-07-14,4885
2015-07-15,4833
2015-07-16,4832
2015-07-17,4417
2015-07-18,3276
2015-07-19,5727
2015-07-20,5643
2015-07-21,5352
2015-07-22,5318
2015-07-23,5800
2015-07-24,4641
2015-07-25,3508
2015-07-26,4124
2015-07-27,5179
2015-07-28,5155
2015-07-29,5460
2015-07-30,5165
2015-07-31,4135
2015-08-01,8749
2015-08-02,6041
2015-08-03,6153
2015-08-04,5479
2015-08-05,5156
2015-08-06,4916
2015-08-07,4635
2015-08-08,3505
2015-08-09,3500
2015-08-10,4426
2015-08-11,4800
2015-08-12,4987
2015-08-13,6524
2015-08-14,4393
2015-08-15,3338
2015-08-16,3518
2015-08-17,4773
2015-08-18,6739
2015-08-19,6935
2015-08-20,6181
2015-08-21,5400
2015-08-22,3801
2015-08-23,4536
2015-08-24,7339
2015-08-25,5891
2015-08-26,5667
2015-08-27,4935
2015-08-28,4292
2015-08-29,3771
2015-08-30,3976
2015-08-31,5041
2015-09-01,5792
2015-09-02,5351
2015-09-03,5071
2015-09-04,4257
2015-09-05,3189
2015-09-06,3376
2015-09-07,4324
2015-09-08,5249
2015-09-09,5276
2015-09-10,5148
2015-09-11,4869
2015-09-12,3520
2015-09-13,3705
2015-09-14,5384
2015-09-15,5273
2015-09-16,5422
2015-09-17,5342
2015-09-18,5995
2015-09-19,3810
2015-09-20,3857
2015-09-21,5673
2015-09-22,6430
2015-09-23,37796
2015-09-24,5583
2015-09-25,7094
2015-09-26,4079
2015-09-27,4132
2015-09-28,5366
2015-09-29,5567
2015-09-30,5753
2015-10-01,5308
2015-10-02,4819
2015-10-03,3799
2015-10-04,4251
2015-10-05,5919
2015-10-06,8092
2015-10-07,6835
2015-10-08,5671
2015-10-09,5565
2015-10-10,4562
2015-10-11,4752
2015-10-12,5988
2015-10-13,5731
2015-10-14,7255
2015-10-15,5408
2015-10-16,5084
2015-10-17,3919
2015-10-18,4111
2015-10-19,6278
2015-10-20,5995
2015-10-21,5703
2015-10-22,6141
2015-10-23,5772
2015-10-24,4204
2015-10-25,4814
2015-10-26,6647
2015-10-27,6508
2015-10-28,6736
2015-10-29,6750
2015-10-30,6559
2015-10-31,4270
2015-11-01,5066
2015-11-02,6956
2015-11-03,7919
2015-11-04,9399
2015-11-05,10587
2015-11-06,7167
2015-11-07,5051
2015-11-08,6020
2015-11-09,8518
2015-11-10,7874
2015-11-11,5780
2015-11-12,6733
2015-11-13,6108
2015-11-14,3789
2015-11-15,4459
2015-11-16,5751
2015-11-17,6147
2015-11-18,5981
2015-11-19,5776
2015-11-20,5623
2015-11-21,4014
2015-11-22,4538
2015-11-23,5361
2015-11-24,5277
2015-11-25,4797
2015-11-26,5287
2015-11-27,4260
2015-11-28,3801
2015-11-29,3961
2015-11-30,6172
2015-12-01,6417
2015-12-02,5821
2015-12-03,5971
2015-12-04,6544
2015-12-05,4754
2015-12-06,4314
2015-12-07,6032
2015-12-08,9024
2015-12-09,34963
2015-12-10,15921
2015-12-11,8654
2015-12-12,5274
2015-12-13,5145
2015-12-14,6878
2015-12-15,7395
2015-12-16,6656
2015-12-17,5779
2015-12-18,5039
2015-12-19,4066
2015-12-20,3944
2015-12-21,5190
2015-12-22,4947
2015-12-23,5070
2015-12-24,4191
2015-12-25,2954
2015-12-26,3676
2015-12-27,9421
2015-12-28,5099
2015-12-29,5788
2015-12-30,4921
2015-12-31,4094
2016-01-01,3369
2016-01-02,4209
2016-01-03,5347
2016-01-04,6535
2016-01-05,6309
2016-01-06,5354
2016-01-07,6199
2016-01-08,5337
2016-01-09,4003
2016-01-10,4255
2016-01-11,5604
2016-01-12,5405
2016-01-13,5462
2016-01-14,5450
2016-01-15,6402
2016-01-16,5043
2016-01-17,5098
2016-01-18,6754
2016-01-19,6419
2016-01-20,5912
2016-01-21,6119
2016-01-22,5649
2016-01-23,3563
2016-01-24,4104
2016-01-25,5822
2016-01-26,5316
2016-01-27,6208
2016-01-28,7016
2016-01-29,6407
2016-01-30,3855
2016-01-31,3433
2016-02-01,5163
2016-02-02,5442
2016-02-03,5195
2016-02-04,5429
2016-02-05,4215
2016-02-06,3588
2016-02-07,3915
2016-02-08,4821
2016-02-09,5237
2016-02-10,5310
2016-02-11,5270
2016-02-12,4998
2016-02-13,3713
2016-02-14,4499
2016-02-15,5885
2016-02-16,6678
2016-02-17,6761
2016-02-18,10747
2016-02-19,8628
2016-02-20,5674
2016-02-21,5578
2016-02-22,6735
2016-02-23,6589
2016-02-24,6558
2016-02-25,7309
2016-02-26,5019
2016-02-27,4209
2016-02-28,3835
2016-02-29,5861
2016-03-01,5912
2016-03-02,5538
2016-03-03,5671
2016-03-04,4920
2016-03-05,3749
2016-03-06,4456
2016-03-07,6525
2016-03-08,6062
2016-03-09,5417
2016-03-10,5209
2016-03-11,4874
2016-03-12,3425
2016-03-13,5576
2016-03-14,6463
2016-03-15,6283
2016-03-16,5614
2016-03-17,5044
2016-03-18,4479
2016-03-19,3036
2016-03-20,3713
2016-03-21,5469
2016-03-22,5382
2016-03-23,5134
2016-03-24,5413
2016-03-25,4016
2016-03-26,3064
2016-03-27,3692
2016-03-28,5426
2016-03-29,5329
2016-03-30,5093
2016-03-31,5142
