date,price_usd,price_usd_fd,price_usd_MAVG30,wikipedia,google_tr_btc,segment,DXY,XAU,SPX,MXWO,QCOM,TSM,AMD,NVDA,High.Yield,Global.Govt,US.Govt,log.DXY,log.XAU,log.SPX,log.MXWO,log.QCOM,log.TSM,log.AMD,log.NVDA,log.High.Yield,log.Global.Govt,log.US.Govt,DXY.fd,XAU.fd,SPX.fd,MXWO.fd,QCOM.fd,TSM.fd,AMD.fd,NVDA.fd,High.Yield.fd,Global.Govt.fd,US.Govt.fd,DXY.pct,XAU.pct,SPX.pct,MXWO.pct,QCOM.pct,TSM.pct,AMD.pct,NVDA.pct,High.Yield.pct,Global.Govt.pct,US.Govt.pct,DXY.vol,XAU.vol,SPX.vol,MXWO.vol,QCOM.vol,TSM.vol,AMD.vol,NVDA.vol,High.Yield.vol,Global.Govt.vol,US.Govt.vol,new_topics,new_posts,new_members,new_posts_fd,new_posts_MAVG30,log_rtn_new_posts,block,supply,fees,new_supply,new_fees,no_users,no_miners,no_transactions,no_auto_transactions,curr_transacted,curr_auto_transacted,new_users,new_miners,new_transactions,new_auto_transactions,new_curr_transacted,new_curr_auto_transacted,no_users_sunk,no_miners_sunk,curr_sunk,new_users_sunk,new_miners_sunk,new_curr_sunk,miner_wealth,user_wealth,ns_alltime_user_wealth,ns_alltime_miner_wealth,alltime_miner_wealth,alltime_user_wealth,ns_miner_wealth,ns_user_wealth,ns_pureuser_wealth,pureuser_wealth,transformed_user_to_miner,lost_track
2010-07-17,0.0,0.0,0.0,241.0,0.01861986689027477,0,82.486,1193.0,1064.88,1089.89,35.96,9.92,7.37,10.05,743.69,194.8,1848.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,215,9,,,,68780,3439000.0,16.55000000000002,8650.0,0.07,34681,32047,17906.0,145.0,5640320.330000004,-8.945084256639646e-13,110,52,237.0,8.0,37593.93999999998,2.8423444153879984e-14,29892,28574,1438689.88,73,32,1873.3400000000838,3012976.8699999806,426023.13000000076,397315.06000000046,1602995.0599999803,3031698.7399999807,407301.2600000007,1584273.1899999809,416036.93000000017,416036.93000000005,426023.13000000006,32443,8.007788529496018e-11
2010-07-18,0.05,0.05,0.0,215.0,0.0159598859059498,0,82.486,1193.0,1064.88,1089.89,35.96,9.92,7.37,10.05,743.69,194.8,1848.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,27,267,15,52.0,,0.21661063027258667,68952,3447600.0,17.370000000000058,8600.0,0.8200000000000005,34811,32087,18143.0,153.0,5677914.270000004,-8.660849815100846e-13,130,40,239.0,3.0,20958.23,-2.8421709430404014e-14,29966,28599,1439997.36,74,25,1307.4799999999816,3016817.169999981,430782.8300000005,402022.1599999999,1605580.479999981,3035534.3299999805,412065.6700000004,1586863.319999981,420739.31999999983,420739.32000000007,430782.83,32516,8.015579519571325e-11
2010-07-19,0.08,0.03,0.0,241.0,0.006649952460812417,0,82.51299999999999,1182.93,1071.25,1089.31,36.77,10.13,7.44,10.46,744.18,194.37,1846.62,0.00032727470000000003,-0.008476731,0.005964074000000001,-0.0005323054,0.02227509,0.020948397,0.0094531426,0.03998582,0.0006586597,-0.002209832,-0.000887715,0.027000000000000003,-10.07,6.37,-0.58,0.81,0.21,0.0094531426,0.03998582,0.0006586597,-0.43,-0.000887715,0.00032732830000000004,-0.008440905,0.005981895,-0.0005321637999999999,0.02252503,0.021169354799999998,0.0094979647,0.04079602,0.0006588767,-0.0022073920000000003,-0.000887321,,,,,,,,,,,,21,282,16,15.0,,0.05465841253786398,69126,3456300.0,17.45000000000007,8700.0,0.08,34945,32103,18382.0,156.0,5698872.500000005,-8.945066909404886e-13,134,16,335.0,11.0,41268.830000000045,0.0,30044,28627,1441502.58,78,28,1505.2199999999718,3007936.8099999805,448363.19000000093,420710.1399999999,1594087.279999981,3025441.149999981,430858.85000000056,1576582.9399999809,438214.47999999975,438214.4800000001,448363.19000000006,32583,8.0169064095581e-11
2010-07-20,0.09,0.009999999999999995,0.0,195.0,0.010639923937299867,0,82.74700000000001,1192.2,1083.48,1093.51,36.75,10.3,7.6,10.72,744.11,194.0,1849.29,0.0028319029999999998,0.007805928,0.01135189,0.003848238,-0.0005440697,0.016642577,0.021277398399999998,0.0245527,-9.406769e-05,-0.0019054000000000002,0.001444841,0.23399999999999999,9.27,12.23,4.2,-0.02,0.17,0.021277398399999998,0.0245527,-9.406769e-05,-0.37,0.001444841,0.0028359170000000003,0.007836474,0.01141657,0.003855652,-0.0005439217,0.016781836100000003,0.0215053763,0.024856599999999996,-9.406325999999999e-05,-0.001903586,0.001445885,,,,,,,,,,,,14,190,13,-92.0,,-0.3948829987776275,69307,3465350.0,17.45000000000007,9050.0,0.0,35056,32159,18717.0,167.0,5740141.330000005,-8.945066909404886e-13,111,56,413.0,3.0,22523.79999999997,1.7347234759768067e-18,30112,28665,1443618.79,68,38,2116.2099999999627,3012135.2399999807,453214.76000000024,424099.4399999995,1597631.769999981,3030885.6399999806,434464.36000000034,1578881.369999981,442849.8399999996,442849.8400000001,453214.76,32650,8.05608496579069e-11
2010-07-21,0.08,-0.009999999999999995,0.0,293.0,0.014629895413787317,0,83.39299999999999,1185.0,1069.59,1088.38,36.16,10.1,7.4,10.37,746.01,193.79,1853.45,0.007776613000000001,-0.006057565,-0.01290269,-0.004702354000000001,-0.01618469,-0.019608471399999997,-0.0266682471,-0.03319413,0.002550132,-0.001083061,0.002246986,0.6459999999999999,-7.2,-13.89,-5.13,-0.59,-0.2,-0.0266682471,-0.03319413,0.002550132,-0.21,0.002246986,0.00780693,-0.006039255,-0.012819799999999998,-0.004691315,-0.01605442,-0.0194174757,-0.026315789500000002,-0.03264925,0.002553386,-0.001082474,0.002249512,,,,,,,,,,,,21,316,19,126.0,,0.508718141426426,69514,3475700.0,17.45000000000007,10350.0,0.0,35183,32231,19130.0,170.0,5762665.130000005,-8.945049562170126e-13,127,72,251.0,3.0,24587.10999999999,1.7347234759768067e-18,30171,28705,1445824.64,59,40,2205.8500000000927,3017808.2799999807,457891.72000000026,428478.4400000002,1601396.9199999806,3036650.7899999805,439049.21,1582554.4099999806,447320.9500000001,447320.95000000007,457891.7200000001,32719,8.040378605966847e-11
2010-07-22,0.08,0.0,0.0,223.0,0.006649952460812417,0,82.595,1194.98,1093.67,1110.1,39.11,10.38,7.61,10.54,748.64,194.32,1850.24,-0.009615226999999999,0.008386674,0.02226362,0.01975975,0.07842465,0.0273454539,0.0279831717,0.01626052,0.0035192220000000002,0.0027311859999999996,-0.0017334070000000002,-0.7979999999999999,9.98,24.08,21.72,2.95,0.28,0.0279831717,0.01626052,0.0035192220000000002,0.53,-0.0017334070000000002,-0.009569148000000001,0.008421941,0.022513299999999997,0.01995627,0.08158186,0.0277227723,0.028378378399999998,0.01639344,0.0035254220000000003,0.002734919,-0.001731905,,,,,,,,,,,,18,270,8,-46.0,,-0.15732025458853735,69690,3484500.0,17.45000000000007,8800.0,0.0,35274,32288,19381.0,173.0,5787252.240000005,-8.945032214935367e-13,91,57,220.0,3.0,36739.26,0.0,30220,28731,1447126.62,49,26,1301.9799999999816,3032045.2699999805,452454.73,422887.99000000017,1614485.3899999806,3051039.2599999807,433460.73999999976,1595491.399999981,441881.98,441881.98000000016,452454.7300000001,32799,8.036371221264994e-11
2010-07-23,0.06,-0.020000000000000004,0.0,251.0,0.010639923937299867,0,82.464,1189.14,1102.66,1117.45,39.08,10.46,7.82,10.36,749.73,193.61,1844.73,-0.001587312,-0.004899092,0.008186429,0.006599201999999999,-0.0007673616,0.0076775809,0.0272213827,-0.01722531,0.001454915,-0.0036604579999999997,-0.002982435,-0.131,-5.84,8.99,7.35,-0.03,0.08,0.0272213827,-0.01722531,0.001454915,-0.71,-0.002982435,-0.0015860520000000001,-0.0048871109999999995,0.00822003,0.006621025,-0.0007670672,0.0077071291000000005,0.0275952694,-0.0170778,0.001455973,-0.003653767,-0.002977992,,,,,,,,,,,,13,247,11,-23.0,,-0.08903362237039751,69884,3494200.0,17.46000000000007,9700.0,0.01,35380,32342,19601.0,176.0,5823991.500000005,-8.945032214935367e-13,106,54,215.0,0.0,20090.90999999999,0.0,30278,28759,1448880.79,58,28,1754.1699999999255,3033543.8699999806,460656.12999999995,430089.56000000006,1615229.649999981,3053183.5299999807,441016.4699999997,1595589.989999981,449729.22000000026,449729.2200000001,460656.13000000006,32874,8.034111743937533e-11
2010-07-24,0.06,0.0,0.0,164.0,0.009309933445137385,0,82.464,1189.14,1102.66,1117.45,39.08,10.46,7.82,10.36,749.73,193.61,1844.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,9,188,7,-59.0,,-0.27294637379802805,70073,3503650.0,17.46000000000007,9450.0,0.0,35504,32423,19816.0,176.0,5844082.410000005,-8.945032214935367e-13,124,81,705.0,0.0,35237.88999999917,0.0,30360,28807,1451361.32,82,48,2480.530000000028,3018211.149999981,485438.8500000001,455033.19,1597255.489999981,3037609.3699999806,466040.6300000004,1577857.269999981,474431.4099999997,474431.4100000001,485438.85,32939,8.0266873009327e-11
2010-07-25,0.05,-0.009999999999999995,0.0,232.0,0.006649952460812417,0,82.464,1189.14,1102.66,1117.45,39.08,10.46,7.82,10.36,749.73,193.61,1844.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,8,191,10,3.0,,0.015831465216680662,70304,3515200.0,20.360000000000085,11550.0,2.899999999999999,35617,32500,20521.0,176.0,5879320.300000004,-8.945032214935367e-13,113,77,1586.0,5.0,41677.14000000014,-1.2433630514063765e-13,30428,28850,1453572.9200000004,68,43,2211.6000000000927,3010370.0499999807,504829.95000000024,474148.03000000026,1587479.049999981,3029982.9599999804,485217.04,1567866.1399999806,493760.9400000004,493760.94000000006,504829.95000000007,33054,8.400697151800252e-11
2010-07-26,0.05,0.0,0.0,245.0,0.006649952460812417,0,82.087,1183.5,1115.01,1129.75,39.24,10.57,8.07,10.55,752.77,194.32,1844.93,-0.0045821740000000005,-0.004754207,0.01113793,0.01094707,0.004085808,0.0104613412,0.0314689277,0.01817362,0.004046595,0.0036604579999999997,0.00010841110000000001,-0.377,-5.64,12.35,12.3,0.16,0.11,0.0314689277,0.01817362,0.004046595,0.71,0.00010841110000000001,-0.0045716920000000005,-0.004742923,0.01120019,0.0110072,0.004094166,0.0105162524,0.0319693095,0.01833977,0.004054793,0.003667166,0.00010841690000000001,,,,,,,,,,,,9,182,9,-9.0,,-0.048266740969834514,70547,3527350.0,21.87000000000013,12150.0,1.51,35718,32555,22107.0,181.0,5920997.440000004,-1.0188395266341743e-12,101,55,226.0,0.0,77577.11000000003,0.0,30491,28889,1455573.9900000002,63,39,2001.0700000000647,3014283.2999999807,513066.69999999966,481882.52999999974,1589893.479999981,3034347.419999981,493002.5800000001,1569829.359999981,501946.6499999999,501946.6500000001,513066.70000000007,33171,8.381853371097757e-11
