date,price,wikipedia,google,new_topics,new_posts,new_members,new_users,tweets
2014-04-09,450.79,16897.0,2.4165725578769055,539,15004,509,1781,8193.0
2014-04-10,437.47,14290.0,2.718644127611519,594,16102,1763,1946,15039.0
2014-04-11,386.66,12654.0,2.5676083427442125,516,14803,975,725,14907.0
2014-04-12,414.53,8971.0,1.963465203274986,471,12363,1304,1442,7582.0
2014-04-13,422.03,9500.0,1.963465203274986,432,13882,635,6295,10674.0
2014-04-14,413.6,19005.0,2.1145009881422925,507,16519,430,1871,13266.0
2014-04-15,465.45,12522.0,2.2655367730095994,529,17502,472,1172,14835.0
2014-04-16,500.99,16638.0,2.5676083427442125,550,17705,474,832,15790.0
2014-04-17,518.77,15347.0,2.1145009881422925,577,16678,464,1197,15215.0
2014-04-18,498.45,9667.0,1.963465203274986,484,14592,442,1699,14028.0
2014-04-19,481.16,9381.0,1.963465203274986,423,13630,500,703,12337.0
2014-04-20,496.48,7466.0,1.812429418407679,388,13353,705,5027,12139.0
2014-04-21,498.76,10524.0,1.963465203274986,503,14457,508,1733,14244.0
2014-04-22,494.62,11693.0,1.812429418407679,570,16622,445,2523,16098.0
2014-04-23,489.03,10865.0,1.812429418407679,504,16688,510,2714,16232.0
2014-04-24,486.85,10385.0,1.812429418407679,556,18295,649,2586,15471.0
2014-04-25,481.38,11897.0,1.963465203274986,497,17511,613,2291,15255.0
2014-04-26,461.23,7208.0,1.661393633540373,480,14578,854,973,12283.0
2014-04-27,457.93,8848.0,1.661393633540373,411,16367,488,4704,11667.0
2014-04-28,440.41,12624.0,1.812429418407679,515,17303,677,1696,15969.0
2014-04-29,439.29,10959.0,1.812429418407679,524,17577,499,2329,16706.0
2014-04-30,443.31,14540.0,1.963465203274986,566,18210,403,2418,17588.0
2014-05-01,446.22,11405.0,1.812429418407679,522,17442,413,2301,16988.0
2014-05-02,455.13,8694.0,1.510357848673066,475,15203,382,2174,20057.0
2014-05-03,448.08,5859.0,1.510357848673066,461,16100,413,1066,12910.0
2014-05-04,436.12,6482.0,1.510357848673066,459,15172,480,5028,12716.0
2014-05-05,434.63,12040.0,1.812429418407679,507,16744,410,1965,21273.0
2014-05-06,430.67,9539.0,1.812429418407679,516,18929,555,2120,16806.0
2014-05-07,427.55,9518.0,1.661393633540373,526,19346,600,1979,16970.0
2014-05-08,438.17,9226.0,1.661393633540373,530,20037,542,2408,21518.0
2014-05-09,438.25,11321.0,1.812429418407679,530,19780,460,2177,17442.0
2014-05-10,446.24,7966.0,1.510357848673066,454,19104,656,1210,14225.0
2014-05-11,451.43,7493.0,1.3593220638057595,448,17137,614,5187,13469.0
2014-05-12,439.36,8606.0,1.510357848673066,526,18720,472,1139,15910.0
2014-05-13,438.87,9341.0,1.661393633540373,533,18098,515,2063,16935.0
2014-05-14,437.84,8992.0,1.661393633540373,526,18760,524,1670,18167.0
2014-05-15,443.26,8913.0,1.661393633540373,526,19749,433,3408,32817.0
2014-05-16,444.92,7591.0,1.661393633540373,501,18656,449,3476,14474.0
2014-05-17,446.33,5785.0,1.3593220638057595,395,16817,459,1832,14587.0
2014-05-18,446.42,5925.0,1.510357848673066,378,16327,318,4917,12892.0
2014-05-19,444.9,8073.0,1.510357848673066,459,18892,414,1530,13595.0
2014-05-20,460.48,12892.0,1.812429418407679,556,20164,513,1833,21515.0
2014-05-21,478.49,9805.0,1.812429418407679,532,19823,412,1551,20254.0
2014-05-22,490.43,9009.0,1.963465203274986,537,19716,389,2696,20217.0
2014-05-23,517.66,7479.0,1.812429418407679,528,19776,404,2672,19485.0
2014-05-24,524.19,5478.0,1.510357848673066,395,16346,328,1331,13630.0
2014-05-25,535.36,5995.0,1.812429418407679,435,18762,283,4764,13823.0
2014-05-26,566.38,8062.0,2.1145009881422925,440,20838,456,1910,14792.0
2014-05-27,581.56,9901.0,1.963465203274986,510,21691,446,3621,19718.0
2014-05-28,573.32,9987.0,1.963465203274986,480,21714,440,1780,18545.0
2014-05-29,571.84,11339.0,2.1145009881422925,528,22144,532,2111,17571.0
2014-05-30,583.53,9569.0,1.963465203274986,425,20686,534,1473,21731.0
2014-05-31,607.55,6126.0,1.812429418407679,453,16688,418,1171,12882.0
2014-06-01,619.78,6043.0,1.812429418407679,461,18692,310,3734,12849.0
2014-06-02,637.66,9208.0,1.812429418407679,487,17774,357,1544,16427.0
2014-06-03,644.3,12243.0,2.1145009881422925,510,19513,459,1257,17858.0
2014-06-04,660.72,11172.0,1.963465203274986,551,18518,377,1465,18010.0
2014-06-05,639.39,10034.0,1.812429418407679,611,19632,383,2017,18707.0
2014-06-06,654.25,7941.0,1.661393633540373,480,17226,392,1933,16611.0
2014-06-07,650.66,6470.0,1.510357848673066,404,15109,360,695,12557.0
2014-06-08,652.67,7110.0,1.510357848673066,452,15938,424,4288,12134.0
2014-06-09,647.99,9066.0,1.510357848673066,458,17671,373,533,14497.0
2014-06-10,649.14,10102.0,1.661393633540373,517,18942,378,2892,16631.0
2014-06-11,651.43,9712.0,1.812429418407679,562,19551,390,1971,19356.0
2014-06-12,637.21,14173.0,2.1145009881422925,521,19778,432,833,19092.0
2014-06-13,605.43,17820.0,2.2655367730095994,535,18675,315,1450,19128.0
2014-06-14,593.12,7532.0,1.812429418407679,358,16293,349,2241,16078.0
2014-06-15,570.85,8033.0,1.812429418407679,410,17835,417,6011,15810.0
2014-06-16,576.37,13633.0,1.963465203274986,498,18609,446,2360,18430.0
2014-06-17,594.26,14409.0,1.812429418407679,478,18642,443,2672,18560.0
2014-06-18,602.02,13608.0,1.812429418407679,508,18279,583,2249,15957.0
2014-06-19,603.48,12067.0,1.661393633540373,481,17727,486,2119,17605.0
2014-06-20,599.77,9532.0,1.661393633540373,428,19400,316,2855,17459.0
2014-06-21,591.11,5246.0,1.3593220638057595,441,16558,338,2259,15113.0
2014-06-22,591.8,5168.0,1.510357848673066,378,16190,278,5433,13838.0
2014-06-23,599.1,6898.0,1.3593220638057595,487,18475,394,1965,16325.0
2014-06-24,587.56,7082.0,1.510357848673066,475,20554,568,1852,17005.0
2014-06-25,584.29,6963.0,1.3593220638057595,519,19808,370,1487,17683.0
2014-06-26,566.76,6329.0,1.3593220638057595,484,19035,435,2105,17534.0
2014-06-27,579.23,12196.0,1.812429418407679,443,18624,389,2998,17587.0
2014-06-28,596.02,9881.0,1.510357848673066,392,16720,300,1561,15236.0
2014-06-29,606.34,5857.0,1.510357848673066,389,16962,344,6031,15482.0
2014-06-30,596.2,9110.0,1.661393633540373,482,20558,546,1163,19860.0
2014-07-01,631.09,7706.0,1.812429418407679,571,19346,541,1288,20443.0
