date,price,wikipedia,google,new_users,new_miners,new_transactions,new_curr_transacted,tweets
2014-04-09,450.79,16897.0,1.7315773207015803,1781,73,58441.0,317798.3166557221,8193.0
2014-04-10,437.47,14290.0,2.056248068333127,1946,18,60728.0,393107.3225447287,15039.0
2014-04-11,386.66,12654.0,1.8398009032454292,725,57,58889.0,396768.8989921471,14907.0
2014-04-12,414.53,8971.0,1.406906573070034,1442,5,43400.0,189062.53741528114,7582.0
2014-04-13,422.03,9500.0,1.406906573070034,6295,69,45846.0,210283.1898611606,10674.0
2014-04-14,413.6,19005.0,1.5151301556138828,1871,11,62896.0,325966.30608417944,13266.0
2014-04-15,465.45,12522.0,1.5151301556138828,1172,39,64241.0,326941.1331526652,14835.0
2014-04-16,500.99,16638.0,1.7315773207015803,832,-11,59624.0,382947.6736285056,15790.0
2014-04-17,518.77,15347.0,1.6233537381577317,1197,30,57207.0,360786.8670367217,15215.0
2014-04-18,498.45,9667.0,1.406906573070034,1699,87,50044.0,372045.2629171336,14028.0
2014-04-19,481.16,9381.0,1.406906573070034,703,26,47868.0,230301.8707626836,12337.0
2014-04-20,496.48,7466.0,1.2986829905261854,5027,23,43713.0,200298.2950046295,12139.0
2014-04-21,498.76,10524.0,1.2986829905261854,1733,88,53161.0,408539.5433114377,14244.0
2014-04-22,494.62,11693.0,1.2986829905261854,2523,50,69718.0,401805.42918701813,16098.0
2014-04-23,489.03,10865.0,1.406906573070034,2714,42,68810.0,340837.7003401177,16232.0
2014-04-24,486.85,10385.0,1.406906573070034,2586,14,64327.0,199862.09831016636,15471.0
2014-04-25,481.38,11897.0,1.406906573070034,2291,11,64327.0,235966.08383306558,15255.0
2014-04-26,461.23,7208.0,1.1904594079823365,973,44,46951.0,159113.1330844308,12283.0
2014-04-27,457.93,8848.0,1.0822358254384876,4704,63,47302.0,149300.14759739165,11667.0
2014-04-28,440.41,12624.0,1.2986829905261854,1696,64,58644.0,235995.18983568452,15969.0
2014-04-29,439.29,10959.0,1.2986829905261854,2329,31,58280.0,299032.4501602109,16706.0
2014-04-30,443.31,14540.0,1.406906573070034,2418,14,57919.0,224602.64042832004,17588.0
2014-05-01,446.22,11405.0,1.2986829905261854,2301,68,53839.0,192143.45057225032,16988.0
2014-05-02,455.13,8694.0,1.1904594079823365,2174,19,54303.0,274368.55420745496,20057.0
2014-05-03,448.08,5859.0,0.974012242894639,1066,90,47618.0,274037.2119189824,12910.0
2014-05-04,436.12,6482.0,1.0822358254384876,5028,67,47635.0,197634.1454105845,12716.0
2014-05-05,434.63,12040.0,1.5151301556138828,1965,6,59785.0,310529.80671436683,21273.0
2014-05-06,430.67,9539.0,1.1904594079823365,2120,8,70577.0,332916.3967112677,16806.0
2014-05-07,427.55,9518.0,1.1904594079823365,1979,23,64224.0,432813.8680846928,16970.0
2014-05-08,438.17,9226.0,1.1904594079823365,2408,-30,63334.0,417394.42407912755,21518.0
2014-05-09,438.25,11321.0,1.2986829905261854,2177,53,60630.0,372212.2308632336,17442.0
2014-05-10,446.24,7966.0,0.974012242894639,1210,91,51868.0,248080.39193234307,14225.0
2014-05-11,451.43,7493.0,1.0822358254384876,5187,105,47498.0,180919.10940137182,13469.0
2014-05-12,439.36,8606.0,1.0822358254384876,1139,31,66058.0,247654.21083899145,15910.0
2014-05-13,438.87,9341.0,1.2986829905261854,2063,57,62327.0,258236.3942181684,16935.0
2014-05-14,437.84,8992.0,1.1904594079823365,1670,37,61981.0,322287.68437966565,18167.0
2014-05-15,443.26,8913.0,1.1904594079823365,3408,56,67584.0,347445.5212112556,32817.0
2014-05-16,444.92,7591.0,1.2986829905261854,3476,15,58782.0,297176.96262849844,14474.0
2014-05-17,446.33,5785.0,0.974012242894639,1832,45,47821.0,199970.30553021425,14587.0
2014-05-18,446.42,5925.0,0.974012242894639,4917,72,44627.0,109577.61442757948,12892.0
2014-05-19,444.9,8073.0,1.0822358254384876,1530,-46,57333.0,254134.47329577353,13595.0
2014-05-20,460.48,12892.0,1.2986829905261854,1833,16,63762.0,730588.3719801223,21515.0
2014-05-21,478.49,9805.0,1.2986829905261854,1551,8,61728.0,296169.03784015466,20254.0
2014-05-22,490.43,9009.0,1.406906573070034,2696,14,64735.0,284525.1754574461,20217.0
2014-05-23,517.66,7479.0,1.1904594079823365,2672,59,65562.0,392751.98905678274,19485.0
2014-05-24,524.19,5478.0,1.0822358254384876,1331,-10,47038.0,487952.1267063589,13630.0
2014-05-25,535.36,5995.0,1.2986829905261854,4764,33,51566.0,356889.17854530946,13823.0
2014-05-26,566.38,8062.0,1.406906573070034,1910,4,60156.0,267078.53359334724,14792.0
2014-05-27,581.56,9901.0,1.406906573070034,3621,5,63001.0,426937.3568133884,19718.0
2014-05-28,573.32,9987.0,1.406906573070034,1780,8,66568.0,355443.5677192278,18545.0
2014-05-29,571.84,11339.0,1.406906573070034,2111,8,58832.0,253851.5586698191,17571.0
2014-05-30,583.53,9569.0,1.5151301556138828,1473,41,58919.0,275900.9510832273,21731.0
2014-05-31,607.55,6126.0,1.2986829905261854,1171,-38,47574.0,236535.49443966488,12882.0
2014-06-01,619.78,6043.0,1.406906573070034,3734,70,50306.0,274157.6378619681,12849.0
2014-06-02,637.66,9208.0,1.1904594079823365,1544,109,58952.0,291000.3174214345,16427.0
2014-06-03,644.3,12243.0,1.5151301556138828,1257,28,62951.0,282077.1074517661,17858.0
2014-06-04,660.72,11172.0,1.406906573070034,1465,45,59721.0,417110.3905970127,18010.0
2014-06-05,639.39,10034.0,1.1904594079823365,2017,59,61401.0,370658.8975804493,18707.0
2014-06-06,654.25,7941.0,1.1904594079823365,1933,-37,56304.0,280347.90849259536,16611.0
2014-06-07,650.66,6470.0,1.0822358254384876,695,28,47154.0,249306.83728558023,12557.0
2014-06-08,652.67,7110.0,1.0822358254384876,4288,19,43125.0,356505.2163204129,12134.0
2014-06-09,647.99,9066.0,1.0822358254384876,533,18,53656.0,178793.9299875301,14497.0
2014-06-10,649.14,10102.0,1.1904594079823365,2892,5,57893.0,329041.9098546818,16631.0
2014-06-11,651.43,9712.0,1.2986829905261854,1971,54,57876.0,300168.2175496522,19356.0
2014-06-12,637.21,14173.0,1.5151301556138828,833,-30,57904.0,497468.29282682616,19092.0
2014-06-13,605.43,17820.0,1.5151301556138828,1450,-13,57136.0,272865.8604565443,19128.0
2014-06-14,593.12,7532.0,1.2986829905261854,2241,58,48395.0,192991.1522105145,16078.0
2014-06-15,570.85,8033.0,1.2986829905261854,6011,78,49558.0,167839.16471406227,15810.0
2014-06-16,576.37,13633.0,1.406906573070034,2360,-7,62586.0,257488.6076645851,18430.0
2014-06-17,594.26,14409.0,1.2986829905261854,2672,-15,62832.0,229621.5630516885,18560.0
2014-06-18,602.02,13608.0,1.2986829905261854,2249,113,58197.0,236575.5107148673,15957.0
2014-06-19,603.48,12067.0,1.2986829905261854,2119,25,55525.0,256123.4161923112,17605.0
2014-06-20,599.77,9532.0,1.2986829905261854,2855,13,52217.0,278144.90429438505,17459.0
2014-06-21,591.11,5246.0,0.974012242894639,2259,12,45906.0,193201.7204471813,15113.0
2014-06-22,591.8,5168.0,1.0822358254384876,5433,63,45379.0,217919.193356333,13838.0
2014-06-23,599.1,6898.0,0.974012242894639,1965,-43,54150.0,276973.7496393443,16325.0
2014-06-24,587.56,7082.0,0.974012242894639,1852,38,57981.0,460273.3046981587,17005.0
2014-06-25,584.29,6963.0,1.0822358254384876,1487,78,58605.0,240074.64482555602,17683.0
2014-06-26,566.76,6329.0,0.8657886603507902,2105,-12,55036.0,231136.0750341061,17534.0
2014-06-27,579.23,12196.0,1.1904594079823365,2998,89,57675.0,242584.3333747357,17587.0
2014-06-28,596.02,9881.0,0.974012242894639,1561,23,49466.0,151261.35174951295,15236.0
2014-06-29,606.34,5857.0,1.0822358254384876,6031,-10,44155.0,124129.08332072778,15482.0
2014-06-30,596.2,9110.0,1.2986829905261854,1163,-13,64185.0,256614.95769236286,19860.0
2014-07-01,631.09,7706.0,1.2986829905261854,1288,-26,63167.0,381693.61450055335,20443.0
2014-07-02,646.47,10131.0,1.4235563549998569,2111,67,59720.0,316934.6436596343,21375.0
2014-07-03,649.16,8579.0,1.273708317631451,1706,-14,55412.0,241159.89198623862,22046.0
2014-07-04,638.62,6681.0,1.1488349531577795,1807,6,53385.0,161418.78817252413,22659.0
2014-07-05,632.62,5164.0,0.9490375699999047,3423,5,44206.0,134573.9555282507,16997.0
2014-07-06,629.67,4942.0,1.1738096260525137,6418,121,46585.0,126753.3448808497,17331.0
2014-07-07,633.77,8027.0,1.2487336447367166,1859,10,59045.0,223568.2054472352,22248.0
