tstamp,wikipedia
2010-07-01,148.0
2010-07-02,71.0
2010-07-03,80.0
2010-07-04,57.0
2010-07-05,35.0
2010-07-06,56.0
2010-07-07,47.0
2010-07-08,
2010-07-09,
2010-07-10,33.0
2010-07-11,2430.0
2010-07-12,8605.0
2010-07-13,1084.0
2010-07-14,732.0
2010-07-15,420.0
2010-07-16,385.0
2010-07-17,241.0
2010-07-18,215.0
2010-07-19,241.0
2010-07-20,195.0
2010-07-21,293.0
2010-07-22,223.0
2010-07-23,251.0
2010-07-24,164.0
2010-07-25,232.0
2010-07-26,245.0
2010-07-27,304.0
2010-07-28,157.0
2010-07-29,187.0
2010-07-30,135.0
2010-07-31,158.0
2010-08-01,92.0
2010-08-02,70.0
2010-08-03,76.0
2010-08-04,61.0
2010-08-05,75.0
2010-08-06,52.0
2010-08-07,38.0
2010-08-08,31.0
2010-08-09,38.0
2010-08-10,54.0
2010-08-11,46.0
2010-08-12,44.0
2010-08-13,41.0
2010-08-14,20.0
2010-08-15,32.0
2010-08-16,47.0
2010-08-17,37.0
2010-08-18,37.0
2010-08-19,25.0
2010-08-20,27.0
2010-08-21,38.0
2010-08-22,50.0
2010-08-23,27.0
2010-08-24,33.0
2010-08-25,39.0
2010-08-26,27.0
2010-08-27,35.0
2010-08-28,12.0
2010-08-29,21.0
2010-08-30,30.0
2010-08-31,23.0
2010-09-01,25.0
2010-09-02,20.0
2010-09-03,24.0
2010-09-04,14.0
2010-09-05,19.0
2010-09-06,23.0
2010-09-07,16.0
2010-09-08,24.0
2010-09-09,17.0
2010-09-10,28.0
2010-09-11,26.0
2010-09-12,15.0
2010-09-13,25.0
2010-09-14,33.0
2010-09-15,13.0
2010-09-16,22.0
2010-09-17,16.0
2010-09-18,20.0
2010-09-19,21.0
2010-09-20,30.0
2010-09-21,41.0
2010-09-22,25.0
2010-09-23,26.0
2010-09-24,32.0
2010-09-25,15.0
2010-09-26,51.0
2010-09-27,78.0
2010-09-28,85.0
2010-09-29,97.0
2010-09-30,304.0
2010-10-01,82.0
2010-10-02,61.0
2010-10-03,38.0
2010-10-04,106.0
2010-10-05,43.0
2010-10-06,78.0
2010-10-07,84.0
2010-10-08,67.0
2010-10-09,64.0
2010-10-10,71.0
2010-10-11,43.0
2010-10-12,22.0
2010-10-13,25.0
2010-10-14,15.0
2010-10-15,14.0
2010-10-16,19.0
2010-10-17,29.0
2010-10-18,17.0
2010-10-19,33.0
2010-10-20,19.0
2010-10-21,21.0
2010-10-22,11.0
2010-10-23,19.0
2010-10-24,15.0
2010-10-25,16.0
2010-10-26,20.0
2010-10-27,17.0
2010-10-28,16.0
2010-10-29,9.0
2010-10-30,12.0
2010-10-31,19.0
2010-11-01,15.0
2010-11-02,20.0
2010-11-03,20.0
2010-11-04,18.0
2010-11-05,18.0
2010-11-06,15.0
2010-11-07,24.0
2010-11-08,37.0
2010-11-09,32.0
2010-11-10,37.0
2010-11-11,41.0
2010-11-12,14.0
2010-11-13,19.0
2010-11-14,39.0
2010-11-15,122.0
2010-11-16,67.0
2010-11-17,15.0
2010-11-18,32.0
2010-11-19,23.0
2010-11-20,22.0
2010-11-21,37.0
2010-11-22,42.0
